NOMDIS,C,50;NOMBRE,C,50;COD_DIS,C,3;COD_DIS_TX,C,2;BARRIO_MAY,C,250;COD_DISBAR,C,3;COD_BAR,C,3;NUM_BAR,C,1;BARRIO_MT,C,250;COD_DISB,C,4;Area_m2,N,19,11
Chamberí;Almagro;7;07;ALMAGRO;74;074;4;ALMAGRO;7-4;937940.694984
Chamberí;Trafalgar;7;07;TRAFALGAR;73;073;3;TRAFALGAR;7-3;611878.110237
Chamberí;Arapiles;7;07;ARAPILES;72;072;2;ARAPILES;7-2;578229.621477
Chamberí;Gaztambide;7;07;GAZTAMBIDE;71;071;1;GAZTAMBIDE;7-1;506477.728583
Ciudad Lineal;Quintana;15;15;QUINTANA;153;153;3;QUINTANA;15-3;723117.328149
San Blas - Canillejas;Simancas;20;20;SIMANCAS;201;201;1;SIMANCAS;20-1;2276342.63995
Salamanca;Guindalera;4;04;GUINDALERA;44;044;4;GUINDALERA;4-4;1602789.62946
Ciudad Lineal;Concepción;15;15;CONCEPCION;154;154;4;CONCEPCIÓN;15-4;885910.75017
Chamberí;Rios Rosas;7;07;RIOS ROSAS;75;075;5;RIOS ROSAS;7-5;975419.853645
Chamberí;Vallehermoso;7;07;VALLEHERMOSO;76;076;6;VALLEHERMOSO;7-6;1069239.03785
Ciudad Lineal;San Pascual;15;15;SAN PASCUAL;155;155;5;SAN PASCUAL;15-5;1052724.59742
San Blas - Canillejas;Canillejas;20;20;CANILLEJAS;207;207;7;CANILLEJAS;20-7;1597706.22683
San Blas - Canillejas;Rosas;20;20;ROSAS;205;205;5;ROSAS;20-5;9296501.19119
San Blas - Canillejas;Salvador;20;20;SALVADOR;208;208;8;SALVADOR;20-8;1880110.03959
San Blas - Canillejas;Rejas;20;20;REJAS;206;206;6;REJAS;20-6;5015732.12195
Moncloa - Aravaca;Casa de Campo;9;09;CASA DE CAMPO;91;091;1;CASA DE CAMPO;9-1;17460617.3729
Chamartín;El Viso;5;05;EL VISO;51;051;1;EL VISO;5-1;1709232.75261
Chamartín;Ciudad Jardín;5;05;CIUDAD JARDIN;53;053;3;CIUDAD JARDÍN;5-3;762309.554637
Chamartín;Prosperidad;5;05;PROSPERIDAD;52;052;2;PROSPERIDAD;5-2;1040058.1802
Ciudad Lineal;San Juan Bautista;15;15;SAN JUAN BAUTISTA;156;156;6;SAN JUAN BAUTISTA;15-6;1010844.47491
Tetuán;Cuatro Caminos;6;06;CUATRO CAMINOS;62;062;2;CUATRO CAMINOS;6-2;1185033.9916
Hortaleza;Palomas;16;16;PALOMAS;161;161;1;PALOMAS;16-1;1068837.59082
Tetuán;Bellas Vistas;6;06;BELLAS VISTAS;61;061;1;BELLAS VISTAS;6-1;715169.658718
Chamartín;Hispanoamérica;5;05;HISPANOAMERICA;54;054;4;HISPANOAMÉRICA;5-4;1712523.61493
Hortaleza;Piovera;16;16;PIOVERA;162;162;2;PIOVERA;16-2;3139649.51166
Ciudad Lineal;Colina;15;15;COLINA;157;157;7;COLINA;15-7;559698.964963
Tetuán;Berruguete;6;06;BERRUGUETE;66;066;6;BERRUGUETE;6-6;607063.386777
Barajas;Alameda de Osuna;21;21;ALAMEDA DE OSUNA;211;211;1;ALAMEDA DE OSUNA;21-1;2031267.2815
Tetuán;Castillejos;6;06;CASTILLEJOS;63;063;3;CASTILLEJOS;6-3;704681.26477
Moncloa - Aravaca;Aravaca;9;09;ARAVACA;97;097;7;ARAVACA;9-7;5834041.44124
Ciudad Lineal;Atalaya;15;15;ATALAYA;158;158;8;ATALAYA;15-8;248882.748259
Chamartín;Nueva España;5;05;NUEVA ESPAÑA;55;055;5;NUEVA ESPAÑA;5-5;1790094.3563
Hortaleza;Canillas;16;16;CANILLAS;163;163;3;CANILLAS;16-3;2522508.91498
Barajas;Corralejos;21;21;CORRALEJOS;215;215;5;CORRALEJOS;21-5;4672511.62832
Moncloa - Aravaca;Valdezarza;9;09;VALDEZARZA;94;094;4;VALDEZARZA;9-4;1397455.7334
Tetuán;Valdeacederas;6;06;VALDEACEDERAS;65;065;5;VALDEACEDERAS;6-5;1163408.91308
Tetuán;Almenara;6;06;ALMENARA;64;064;4;ALMENARA;6-4;999367.231008
Moncloa - Aravaca;Valdemarín;9;09;VALDEMARIN;95;095;5;VALDEMARÍN;9-5;3302462.34272
Barajas;Casco Histórico de Barajas;21;21;CASCO HISTORICO DE BARAJAS;213;213;3;CASCO HISTÓRICO DE BARAJAS;21-3;549393.831216
Moncloa - Aravaca;Ciudad Universitaria;9;09;CIUDAD UNIVERSITARIA;93;093;3;CIUDAD UNIVERSITARIA;9-3;14250853.2398
Moncloa - Aravaca;El Plantío;9;09;EL PLANTIO;96;096;6;EL PLANTÍO;9-6;3528175.0947
Hortaleza;Pinar del Rey;16;16;PINAR DEL REY;164;164;4;PINAR DEL REY;16-4;2664766.71518
Hortaleza;Apostol Santiago;16;16;APOSTOL SANTIAGO;165;165;5;APOSTOL SANTIAGO;16-5;1205069.87544
Chamartín;Castilla;5;05;CASTILLA;56;056;6;CASTILLA;5-6;2161263.41933
Ciudad Lineal;Costillares;15;15;COSTILLARES;159;159;9;COSTILLARES;15-9;1427246.84756
Fuencarral - El Pardo;Pilar;8;08;PILAR;84;084;4;PILAR;8-4;1363211.52237
Fuencarral - El Pardo;Peñagrande;8;08;PEÑAGRANDE;83;083;3;PEÑAGRANDE;8-3;2887271.92863
Fuencarral - El Pardo;La Paz;8;08;LA PAZ;85;085;5;LA PAZ;8-5;2154754.78051
Fuencarral - El Pardo;Fuentelareina;8;08;FUENTELAREINA;82;082;2;FUENTELAREINA;8-2;1382643.6267
Barajas;Timón;21;21;TIMON;214;214;4;TIMÓN;21-4;4798439.2388
Barajas;Aeropuerto;21;21;AEROPUERTO;212;212;2;AEROPUERTO;21-2;29664865.4682
Hortaleza;Valdefuentes;16;16;VALDEFUENTES;166;166;6;VALDEFUENTES;16-6;17025262.9649
Fuencarral - El Pardo;Mirasierra;8;08;MIRASIERRA;87;087;7;MIRASIERRA;8-7;6992795.51725
Fuencarral - El Pardo;Valverde;8;08;VALVERDE;86;086;6;VALVERDE;8-6;8981228.48477
Fuencarral - El Pardo;El Goloso;8;08;EL GOLOSO;88;088;8;EL GOLOSO;8-8;26493087.1432
Fuencarral - El Pardo;El Pardo;8;08;EL PARDO;81;081;1;EL PARDO;8-1;187583377.386
Vicálvaro;Casco histórico de Vicálvaro;19;19;CASCO HISTORICO DE VICALVARO;191;191;1;CASCO HISTÓRICO DE VICÁLVARO;19-1;21494220.3233
Vicálvaro;El Cañaveral;19;19;EL CAÑAVERAL;194;194;4;EL CAÑAVERAL;19-4;10574251.7914
